1.445	6522.61182	0	2.5
1.446	6600.96533	-0.00621	2.5
1.447	6519.48975	0.00973	2.5
1.448	6647.54834	-0.02371	2.5
1.449	6339.57324	0.00858	2.5
1.45	6449.30957	-0.04622	2.5
1.451	5879.44678	0.01043	2.5
1.452	6003.36523	0.00361	2.5
1.453	6046.86572	0.02163	2.5
1.454	6314.18799	0.00031	2.5
1.455	6318.13721	0.0042	2.5
1.456	6371.41357	0.02792	2.5
1.457	6737.47314	-0.00642	2.5
1.458	6651.50049	-0.02302	2.5
1.459	6352.10352	0.0107	2.5
1.46	6489.46777	0.00335	2.5
1.461	6533.04883	0.00317	2.5
1.462	6574.60742	0.01763	2.5
1.463	6810.62549	-0.02465	2.5
1.464	6482.95947	0.02196	2.5
1.465	6774.04834	0.01464	2.5
1.466	6975.34082	-0.03813	2.5
1.467	6462.9043	-0.00937	2.5
1.468	6342.86377	-0.00087	2.5
1.469	6331.8252	-0.02137	2.5
1.47	6066.85254	0.02456	2.5
1.471	6372.31055	0.02771	2.5
1.472	6735.5127	-0.03708	2.5
1.473	6253.90381	0.02793	2.5
1.474	6613.30371	0.00563	2.5
1.475	6688.15137	0.00468	2.5
1.476	6751.09521	-0.03177	2.5
1.477	6335.2959	0.02156	2.5
1.478	6614.54443	-0.01901	2.5
1.479	6367.74072	0.00096	2.5
1.48	6380.00684	0.02741	2.5
1.481	6739.66504	-0.00276	2.5
1.482	6702.57617	0.01167	2.5
1.483	6860.84717	0.01667	2.5
1.484	7093.48291	-0.04574	2.5
1.485	6473.00537	-0.00479	2.5
1.486	6411.31201	0.00773	2.5
1.487	6511.26074	0.0286	2.5
1.488	6894.604	-0.00798	2.5
1.489	6785.43018	-0.00386	2.5
1.49	6733.29736	-0.00154	2.5
1.491	6712.64551	0.01072	2.5
1.492	6858.06689	-0.03609	2.5
1.493	6380.32617	-0.01113	2.5
1.494	6239.86572	0.02608	2.5
1.495	6574.08594	-0.01348	2.5
1.496	6399.26172	-0.00383	2.5
1.497	6350.47705	-0.00198	2.5
1.498	6325.3208	0.00778	2.5
1.499	6424.49023	-0.00357	2.5
1.5	6378.83496	-0.00718	2.5
1.501	6287.94678	0.01322	2.5
1.502	6456.4541	-0.00007	2.5
1.503	6455.52051	0.0074	2.5
1.504	6551.74609	0.01133	2.5
1.505	6701.84375	0.00109	2.5
1.506	6716.40527	0.01901	2.5
1.507	6976.68945	-0.04488	2.5
1.508	6377.41309	0.00228	2.5
1.509	6406.56445	0.01777	2.5
1.51	6638.32812	0.00464	2.5
1.511	6700.16357	0.02875	2.5
1.512	7096.76123	-0.0328	2.5
1.513	6645.95898	-0.01241	2.5
1.514	6482.96631	-0.0049	2.5
1.515	6419.77832	0.0215	2.5
1.516	6701.82861	-0.02712	2.5
1.517	6347.896	0.0016	2.5
1.518	6368.2793	-0.01047	2.5
1.519	6236.36816	-0.02157	2.5
1.52	5972.98486	0.02547	2.5
1.521	6285.22949	0.00977	2.5
1.522	6409.30566	0.00203	2.5
1.523	6435.41602	0.01023	2.5
1.524	6568.47314	-0.00602	2.5
1.525	6489.87354	0.00961	2.5
1.526	6615.82031	-0.01406	2.5
1.527	6432.31885	0.01743	2.5
1.528	6660.52051	-0.01251	2.5
1.529	6495.98926	0.02118	2.5
1.53	6777.06494	-0.00397	2.5
1.531	6723.44922	0.00592	2.5
1.532	6803.57959	-0.00906	2.5
1.533	6681.39453	-0.00424	2.5
1.534	6624.94287	-0.01176	2.5
1.535	6470.95264	-0.00525	2.5
1.536	6403.38672	0.01517	2.5
1.537	6600.65479	0.01185	2.5
1.538	6758.90381	-0.00569	2.5
1.539	6682.41846	-0.01731	2.5
1.54	6455.02002	0.01814	2.5
1.541	6693.54248	0.0054	2.5
1.542	6766.19824	-0.01361	2.5
1.543	6584.47021	0.00782	2.5
1.544	6688.23828	0.00243	2.5
1.545	6720.83105	0.00352	2.5
1.546	6768.32129	-0.02331	2.5
1.547	6459.99512	0.00336	2.5
1.548	6503.57178	-0.01922	2.5
1.549	6258.3374	-0.00226	2.5
1.55	6230.14795	0.00641	2.5
1.551	6310.59033	-0.00459	2.5
1.552	6252.90283	0.00721	2.5
1.553	6343.75195	0.00702	2.5
1.554	6433.51074	0.02353	2.5
1.555	6743.61719	0.00742	2.5
